timestamp,measurement_time,measurement_hour,region_id,cell_id,sector_id,measurement_type,cell_priority,neighbor_cell_id,scenario_id,latency_ms,jitter_ms,packet_loss_pct,alarm_code,interference_flag
0,2025-01-06 00:00:00,0,REGION_SEOUL_001,CELL01,SEC1,DATA,4,NB_6191,S1,11.701720780126477,2.560864963163317,0.8851549046725438,0,0
1,2025-01-06 00:05:00,0,REGION_SEOUL_001,CELL01,SEC1,VIDEO,1,,S1,8.781392501515354,3.480978309777689,0.605987540057427,0,0
2,2025-01-06 00:10:00,0,REGION_SEOUL_001,CELL01,SEC1,DATA,1,NB_9322,S1,12.673117477092221,3.116297454113908,1.0392622359845876,0,0
3,2025-01-06 00:15:00,0,REGION_SEOUL_001,CELL01,SEC1,VOICE,4,,S1,8.402222973874832,2.8901247520786355,0.7784103419074588,0,0
4,2025-01-06 00:20:00,0,REGION_SEOUL_001,CELL01,SEC1,VIDEO,1,,S1,11.213478272549464,1.7130589424677898,1.1352328760952306,0,0
5,2025-01-06 00:25:00,0,REGION_SEOUL_001,CELL01,SEC1,DATA,1,NB_5555,S1,10.457979669320599,2.872811612097225,1.2122878989467514,0,0
6,2025-01-06 00:30:00,0,REGION_SEOUL_001,CELL01,SEC1,VIDEO,1,,S1,10.08336333999724,3.106726509639905,0.7894497511034675,0,0
7,2025-01-06 00:35:00,0,REGION_SEOUL_001,CELL01,SEC1,VOICE,2,,S1,13.820249922172966,3.4143547176099585,0.9288156456729022,0,0
8,2025-01-06 00:40:00,0,REGION_SEOUL_001,CELL01,SEC1,DATA,1,NB_3747,S1,9.548117147009798,3.780474899549534,1.064468726151466,0,0
9,2025-01-06 00:45:00,0,REGION_SEOUL_001,CELL01,SEC1,DATA,2,NB_3734,S1,9.523981610907088,4.017516350682955,0.5778873359372725,0,0
10,2025-01-06 00:50:00,0,REGION_SEOUL_001,CELL01,SEC1,VIDEO,2,,S1,11.997218211096692,3.623133671561492,1.064442256863105,0,0
11,2025-01-06 00:55:00,0,REGION_SEOUL_001,CELL01,SEC1,IOT,2,,S1,11.142705667130175,2.7189548373479027,0.5706944055761813,0,0
12,2025-01-06 01:00:00,1,REGION_SEOUL_001,CELL01,SEC1,IOT,2,,S1,11.923148381437832,2.8475979552411306,1.169715093865861,0,0
